Spanish,English
que,that
no,not
a,a
la,the
el,the
y,Y
es,is
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,to
está,this
mi,me
si,Yeah
pero,but
sí,Yeah
bien,all right
eso,that
su,his
las,the
yo,I
del,of
como,What
tu,you
aquí,here
al,to the
más,more
esto,this
todo,everything
ya,Already
estoy,am
ahora,now
esta,is
ha,ha
algo,something
así,So
bueno,well
hay,there are
tengo,I've got
él,he
cuando,when
estás,these
sé,HE
tú,your
nada,nothing
nos,us
este,East
o,either
he,He
ser,to be
puedo,may l
tiene,have
quiero,want
ella,she
hacer,do
fue,it was
gracias,Thank you
era,was
vez,time
sólo,only
todos,everyone
porque,why
son,They are
tienes,have
creo,believe
sabes,You know
voy,I go
eres,are
puede,may
ese,that
entonces,then
hola,hello
casa,house
verdad,TRUE
tan,so
solo,only
sus,their
quién,who
dos,two
nunca,never
tiempo,weather
esa,that
oh,Oh
dónde,where
va,goes
favor,favor
quieres,you want
señor,mister
siento,I feel
mí,my
mejor,better
hace,does
decir,say
has,you have
también,too
sobre,upon
sin,without
tenemos,we have
están,is it so
ti,you
puedes,you may
hombre,man
ver,watch
vida,life
siempre,forever
hasta,until
cosas,stuff
ahí,there
años,years
ir,go
estar,be
ni,neither
poco,little bit
noche,night
uno,one
hecho,done
mis,my
estamos,we're
otra,other
trabajo,worked
nosotros,us
parece,It seems
gente,people
mira,look
padre,dad
sea,be
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,might
ellos,them
hablar,speak
vas,you go
tal,such
fuera,outside
después,after
pasa,happens
desde,since
han,they have
dinero,money
mundo,world
claro,Clear
tener,have
estado,condition
otro,other
momento,moment
había,there was
mañana,morning
tenía,I had
donde,where
madre,mother
haciendo,doing
lugar,place
seguro,sure
vale,OK
sabe,knows
tus,your
espera,wait
nuevo,new
podemos,can
cosa,stuff
sido,been
hijo,son
allí,over there
tipo,type
menos,less
amigo,friend
gran,big
nuestro,our
mujer,women
luego,later
mamá,breast
días,days
papá,father
dice,He says
tres,three
hoy,today
buena,good
necesito,needed
dije,I said
gusta,like
quería,wanted
parte,part
será,will be
todas,all
crees,You believe
buen,good
conmigo,with me
nombre,Name
estas,are
oye,hears
nuestra,our
realmente,Really
mal,wrong
debe,should
aún,still
mierda,shit
mío,Own
cada,every
hacerlo,do it
visto,viewed
importa,It matters
contigo,with you
tienen,have
razón,reason
hemos,we have
tanto,so much
veces,times
saber,know
hizo,made
ven,come
serio,I laughed
idea,idea
tarde,late
problema,issue
quien,who
hora,hour
eh,Hey
cierto,certain
amor,love
dicho,saying
entre,Come in
ve,go
pasado,past
estos,these
chica,girl
familia,family
debería,should
ustedes,you guys
esos,those
chicos,Boys
cuenta,bill
todavía,yet
algún,some
haces,you do
unos,some
amigos,friends
veo,I see
vaya,wow
pensé,I thought
hermano,brother
cabeza,head
sabía,knew
hombres,mens
buenas,good
van,go
cualquier,any
forma,form
ah,ah
digo,say
somos,we are
debo,I shall
mientras,While
chico,guy
lado,side
pueden,may
caso,case
sería,would
primera,first
pasó,He passed
hice,I made
quizá,Maybe
genial,cool
adiós,bye
supuesto,supposed
muchas,many
esas,those
personas,people
durante,during
volver,return
camino,road
contra,against
señora,Ms
hablando,speaking
muerto,dead
pues,well
rápido,Quick
historia,history
cuál,which
manera,way
supongo,i guess
nueva,new
dentro,within
casi,almost
ves,you see
persona,person
quizás,maybe
entiendo,I get it
puerta,gate
hacia,toward
semana,week
primero,first
pasar,happen
espero,wait
niños,children
significa,it means
año,year
tío,uncle
suerte,luck
juntos,together
hey,Hey
ciudad,town
pronto,early
feliz,happy
siquiera,even
minutos,minutes
gustaría,would like
venir,to come
cuánto,how much
muerte,death
realidad,reality
hija,daughter
dejar,let
problemas,problems
vi,saw
corazón,heart
deja,leaves
dijiste,said
importante,important
miedo,fear
jefe,chief
agua,Water
horas,hours
justo,just
da,gives
esposa,wife
buenos,good ones
manos,hands
debes,you must
ojos,eyes
nuestros,our
mano,hand
adelante,forward
poder,can
otros,others
cinco,five
viejo,old
encontrar,meet
niño,kid
cara,face
ninguna,none
cuidado,care
cerca,close
noches,nights
venga,come on
mas,more
déjame,let me
bastante,pretty
fin,End
único,unique
tomar,drink
ningún,none
misma,same
suficiente,enough
haya,is
equipo,team
grande,great
punto,point
cuándo,when
algunos,Some
hubiera,had
necesita,needs to
llegar,to get
sigue,go on
clase,class
pequeño,little
coche,car
cuatro,four
incluso,even
allá,there
tierra,Earth
primer,first
llama,call
difícil,hard
aunque,even though
hago,I make
arriba,above
doctor,doctor
hiciste,did
toma,taking
guerra,war
pensar,think
última,last
loco,crazy
pueda,I can
mujeres,women
sangre,blood
fui,I was
igual,same
vuelta,return
cuerpo,Body
tenido,Dyed
trabajar,to work
ok,okay
deberías,you should
juego,match
e,and
algunas,some
cree,Believe
entrar,get in
fiesta,party
podía,could
oportunidad,chance
auto,auto
listo,clever
quieren,They want
debemos,we must
final,final
necesitamos,we need
muchos,Many
vete,go away
teléfono,phone
meses,months
vivir,to live
número,number
dar,give
posible,possible
exactamente,exactly
abajo,bottom
hermana,sister
escuela,school
habla,speaks
capitán,captain
culpa,fault
atrás,behind
ello,it
ido,gone
chicas,girls
esté,East
diciendo,saying
pregunta,Question
segundo,second
unas,nail
fuerte,strong
malo,bad
dame,give to me
conozco,know
bebé,baby
pasando,going
sabemos,we know
mayor,elderly
vino,wine
morir,To die
comida,food
fácil,easy
comer,eat
lista,ready
creer,believe
haga,make
probablemente,probably
fueron,were
pensando,thinking
dime,tell me
habitación,room
tuve,had
hijos,children
buscando,searching
padres,parents
habitación,Room
tuve,I had
hijos,Children
buscando,Looking for
padres,parents
haber,to have
alguna,some
antes,before
mucho,much
bajo,under
le,you
eran,they were
demasiado,too
necesitas,you need
muy,very
día,day
estabas,You were
viene,comes
estaba,was
os,you
dices,You say
ayuda,help
soy,am
alguien,somebody
les,them
usted,you
vamos,come on
dios,God
escucha,listens
salir,go out
acuerdo,agreement
toda,all
policía,police
cariño,sweetie
cómo,What
iba,I was going